교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
서울특별시교육청,강남서초교육지원청,강남유정유치원,사립(사인),김지은 박민정,김지은,20180131,20180301,서울특별시 강남구 광평로34길 17,02-2226-9500,02-2226-9705,http://www.gnyujung.com,0800시0800분~1800시1800분,7,6,5,0,0,429,137,152,140,0,0,137,152,140,0,0,37.4830073857,127.0949420948
서울특별시교육청,강남서초교육지원청,개현초등학교병설유치원,공립(병설),박병춘,박병춘,20250301,20250305,서울특별시 강남구 선릉로 15,02-2138-2045,02-2138-2046,https://gaehyeon.sen.es.kr/207692/subMenu.do,0700시0700분~1900시1900분,1,1,1,0,0,52,14,18,20,0,0,14,17,13,0,0,37.4810262095918,127.062042570555
서울특별시교육청,강남서초교육지원청,구룡유치원,사립(사인),이정근,이경남,19940301,19940301,서울특별시 서초구 논현로5길 31-11,02-577-1986,02-576-4503,https://guryung.kidsnote.ac/,0800시0800분~1900시1900분,1,2,1,0,0,120,30,60,30,0,0,23,27,29,0,0,37.4711297379287,127.049171041504
서울특별시교육청,강남서초교육지원청,남부유치원,사립(사인),김윤기,조미경,19860327,19860327,서울특별시 강남구 언주로 123,02-572-2371,02-576-9391, ,0900시0900분~1700시1700분,0,0,0,2,0,80,0,0,0,80,0,0,0,0,43,0,37.487521219531,127.048752325201
서울특별시교육청,강남서초교육지원청,도곡렉슬유치원,사립(사인),전영순,정연희,20060221,20060306,서울특별시 강남구 선릉로 221,02-579-7736,02-579-7753, ,0830시0830분~1800시1800분,0,0,0,8,0,200,0,0,0,200,0,0,0,0,200,0,37.4942068396456,127.049734781209
서울특별시교육청,강남서초교육지원청,돌샘유치원,사립(사인),석종희,석현영,19831223,19840302,서울특별시 강남구 개포로 516,02-3411-0003,02-3411-7033, ,0800시0800분~1900시1900분,2,2,2,0,0,260,46,48,50,0,0,44,46,45,0,0,37.4891406792843,127.070871480537
서울특별시교육청,강남서초교육지원청,동화유치원,사립(사인),김경옥,남은희,19940207,19940304,서울특별시 서초구 서초중앙로24길 43,02-595-9392,02-591-9392, ,0820시0820분~1800시1800분,1,1,1,0,0,90,30,30,30,0,0,22,13,22,0,0,37.4966221384,127.0183606114
서울특별시교육청,강남서초교육지원청,리라유치원,사립(사인),김점미,황세희,19860311,19941010,서울특별시 강남구 광평로19길 15,02-2226-8686,02-2226-8683, ,0800시0800분~1800시1800분,2,1,1,0,0,160,36,20,20,0,0,28,10,10,0,0,37.485530536641,127.084797907539
서울특별시교육청,강남서초교육지원청,묘동유치원,사립(법인),이요한,이현주,19241113,19241113,서울특별시 강남구 도곡로78길 8,02-556-8737,02-565-7202,http://md.kidis.co.kr,0900시0900분~1800시1800분,2,2,2,0,0,165,40,48,52,0,0,40,48,52,0,0,37.4974073119856,127.058766397833
서울특별시교육청,강남서초교육지원청,반디유치원,사립(사인),김난영,명은지,19930302,19930302,서울특별시 강남구 광평로47길 17,02-451-8891,02-451-8890,http://www.bandikids.co.kr,0800시0800분~1800시1800분,1,2,1,0,0,120,25,60,35,0,0,24,59,34,0,0,37.4866957097081,127.097697414245
서울특별시교육청,강남서초교육지원청,반포자이유치원,사립(사인),김현숙,윤홍주,20100303,20100303,서울특별시 서초구 신반포로 270,02-596-6668,02-596-6648, ,0900시0900분~1700시1700분,2,2,2,0,0,160,42,51,56,0,0,42,51,54,0,0,37.5078602234885,127.011582043737
