교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
경기도교육청,가평교육지원청,가평마장초등학교병설유치원,공립(병설),박효진,박효진,20010901,20010901,경기도 가평군 각담말길 15,031-582-8796,031-582-2757,https://gpmajang-e.goegp.kr,0800시0800분~1900시1900분,0,0,0,1,0,20,0,0,0,18,0,0,0,0,4,0,37.8596106629,127.5147400476
경기도교육청,가평교육지원청,가평유치원,공립(단설),나옥선,나옥선,20100112,20100302,경기도 가평군 가평읍 향교로 23-3,031-582-4986,031-582-4983,https://gapyeong-k.goegp.kr,1330시1330분~1900시1900분,3,1,2,0,1,114,42,20,48,0,4,30,19,44,0,3,37.8295317964,127.5075329398
경기도교육청,가평교육지원청,대성초등학교병설유치원,공립(병설),이은영,이은영,19810301,19810301,경기도 가평군 청평면 경춘로 75,031-584-0793,031-584-9226,www.kgds.es.kr,1300시1300분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,7,0,37.683124591,127.3776918713
경기도교육청,가평교육지원청,미원초등학교병설유치원,공립(병설),전주은,전주은,19810301,19810301,경기도 가평군 신천중앙로120번길 11,031-584-8718,031-584-7316,https://miwon.es.kr,0900시0900분~1900시1900분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,5,0,37.6794542532,127.4901250999
경기도교육청,가평교육지원청,방일초등학교병설유치원,공립(병설),김순광,김순광,19820301,19820301,경기도 가평군 설악면 양방가루재길 76,031-585-4661,031-584-4108,http://www.bangil.es.kr,1300시1300분~1900시1900분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,6,0,37.6290948273,127.4998803232
경기도교육청,가평교육지원청,상면초등학교병설유치원,공립(병설),김은삼,김은삼,19810309,19810309,경기도 가평군 청군로 700-22,031-584-6879,031-584-4742, ,1300시1300분~1900시1900분,0,0,0,1,0,20,0,0,0,18,0,0,0,0,4,0,37.7762347645,127.370912735
경기도교육청,가평교육지원청,상색초등학교병설유치원,공립(병설),지경미,지경미,19810305,19810305,경기도 가평군 태봉두밀로 34-31,031-582-2251,031-582-4308, ,1300시1300분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,4,0,37.8054055007216,127.484986507547
경기도교육청,가평교육지원청,상천초등학교병설유치원,공립(병설),최미경,최미경,19810301,19810301,경기도 가평군 상천역로19번길 38,031-585-3419, ,http://www.sang1000.es.kr,1300시1300분~1900시1900분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,4,0,37.7699519360695,127.456019064148
경기도교육청,가평교육지원청,연하초등학교병설유치원,공립(병설),이현랑,이현랑,19810305,19810310,경기도 가평군 비룡로 2199-19,031-585-3470,031-585-1723, ,1300시1300분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,8,0,37.8032827241,127.3422039703
경기도교육청,가평교육지원청,율길초등학교병설유치원,공립(병설),이현미,이현미,19840901,19840901,경기도 가평군 청군로 2090,031-584-6005, ,http://www.yulgil.es.kr/,0900시0900분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,5,0,37.8380465926,127.2882546101
경기도교육청,가평교육지원청,조종초등학교병설유치원,공립(병설),강경진,강경진,19810301,19810301,경기도 가평군 하면 조종새싹로 13-9,031-585-0584,031-584-2337,www.jojong.es.kr/,0900시0900분~1900시1900분,0,0,1,1,2,48,0,0,24,16,8,0,0,7,11,3,37.8215152922,127.3489314556
경기도교육청,가평교육지원청,청심유치원,사립(사인),조성태,안진일,20060302,20060302,경기도 가평군 미사리로286번길 16,031-589-9900,031-589-9917,https://cafe.naver.com/cjdtla9900,0830시0830분~1900시1900분,0,1,1,1,0,180,0,22,26,20,0,0,22,15,18,0,37.7019980240063,127.542278620521
경기도교육청,고양교육지원청,가좌초등학교병설유치원,공립(병설),정재은,정재은,20060301,20060301,경기도 고양시 일산서구 가좌2로 31,031-922-6047,031-922-6045, ,0900시0900분~1800시1800분,1,1,1,0,1,62,14,20,24,0,4,13,12,10,0,1,37.6884815985,126.7213646487
