교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
경상남도교육청,거제교육지원청,거제양정초등학교병설유치원,공립(병설),강기룡,강기룡,20171228,20190301,경상남도 거제시 양정2길 15,055-638-0165,055-638-0166,https://gjyangjeong-p.gne.go.kr/gjyangjeong-p/main.do,0730시0730분~1930시1930분,0,0,1,1,2,36,0,0,16,12,8,0,0,4,7,4,34.8717398466436,128.651238036455
경상남도교육청,거제교육지원청,거제용소초등학교병설유치원,공립(병설),손홍준,손홍준,20210301,20210301,경상남도 거제시 용소1길 35-5,055-638-4885,055-638-4887,http://gjyongso-p.gne.go.kr/,1300시1300분~1700시1700분,1,1,1,0,1,52,14,18,19,0,1,14,13,18,0,1,34.873745801,128.6867310139
경상남도교육청,거제교육지원청,거제유치원,공립(단설),이인숙,이인숙,20200102,20200304,경상남도 거제시 국산로 147,055-687-3744, ,http://geoje-k.gne.go.kr,0730시0730분~1930시1930분,3,3,3,0,2,156,42,54,54,0,6,42,54,54,0,6,34.8991620691829,128.69292129293
경상남도교육청,거제교육지원청,거제초등학교병설유치원,공립(병설),김수열,김수열,19810301,19810301,경상남도 거제시 읍내로2길 20,055-632-7106, , ,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,34.8517392995476,128.591628946921
경상남도교육청,거제교육지원청,고현유치원,사립(사인),박정곤,서미정(직무대리),20060320,20060320,경상남도 거제시 계룡로11길 15,055-637-5511,055-637-5494, ,0900시0900분~1800시1800분,1,0,2,1,0,180,19,0,52,24,0,17,0,35,13,0,34.8823794460752,128.619277170903
경상남도교육청,거제교육지원청,국산초등학교병설유치원,공립(병설),공맹진,공맹진,19850904,19850904,경상남도 거제시 국산1길 2,055-687-2201, , ,1300시1300분~1700시1700분,1,1,1,0,1,56,14,18,20,0,4,7,6,16,0,1,34.8966982316241,128.694056050181
경상남도교육청,거제교육지원청,능포초등학교병설유치원,공립(병설),곽선열,곽선열,19980301,19980309,경상남도 거제시 능포로 208,055-681-9002,055-681-9503, ,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,34.880971295983,128.737119544126
경상남도교육청,거제교육지원청,동그라미유치원,사립(사인),옥영희,옥구슬,19870321,19870325,경상남도 거제시 계룡로7길 24-5,055-636-2325,055-636-2313, ,0930시0930분~1730시1730분,2,3,3,0,0,240,60,90,90,0,0,53,64,60,0,0,34.8785475316126,128.620808501291
경상남도교육청,거제교육지원청,동백유치원,사립(사인),김금옥,김금옥,20220302,20220302,경상남도 거제시 장평1로 129,055-635-7270,055-635-7270, ,0900시0900분~1700시1700분,2,2,1,0,0,134,38,48,48,0,0,24,27,21,0,0,34.8920478732697,128.606571138368
경상남도교육청,거제교육지원청,동부초등학교병설유치원,공립(병설),박순옥,박순옥,19790301,19790301,경상남도 거제시 동부로 27,055-633-2024,055-633-2023, ,1230시1230분~1630시1630분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,34.8200195919566,128.610384340225
경상남도교육청,거제교육지원청,룸비니유치원,사립(사인),이승엽,허소영,20071126,20080301,경상남도 거제시 문동폭포길 12-22,055-638-2005,055-638-2105, ,1300시1300분~1700시1700분,2,2,2,0,0,140,38,48,52,0,0,33,45,48,0,0,34.8538653899725,128.652049909568
경상남도교육청,거제교육지원청,명사초등학교병설유치원,공립(병설),박옥희,박옥희,19920301,19920301,경상남도 거제시 명사해수욕장길 11,055-951-2003,055-951-2020,http://www.myongsa.es.kr,1230시1230분~1630시1630분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,1,0,34.7257048157,128.6036880413
경상남도교육청,거제교육지원청,무궁화유치원,사립(사인),이민영,감미진,19990306,19990306,경상남도 거제시 옥포대첩로7길 46,055-687-9111,055-687-8787, ,0900시0900분~1700시1700분,2,2,3,0,0,260,38,48,78,0,0,25,38,60,0,0,34.8961128068228,128.693987385075
경상남도교육청,거제교육지원청,미루유치원,사립(사인),윤명자,윤명자,20090301,20090301,경상남도 거제시 수양로 78,055-638-2142,055-638-2373,http://daum.net,0730시0730분~1900시1900분,2,2,2,0,0,160,38,48,52,0,0,32,48,50,0,0,34.8650686346,128.649042293
경상남도교육청,거제교육지원청,사등유치원,공립(단설),전영숙,전영숙,20210301,20210304,경상남도 거제시 언양로 555,055-680-6801,634-6802,http://sadeung-k.gne.go.kr,1300시1300분~1700시1700분,2,1,2,0,0,86,28,18,40,0,0,21,18,39,0,0,34.9018976862771,128.552682032747
경상남도교육청,거제교육지원청,새들유치원,사립(사인),권정혁,김성숙,20090305,20090305,경상남도 거제시 장평2로2길 22-9,055-633-4320,055-632-7952,http://cafe.daum.net/saedl2009,0900시0900분~1700시1700분,2,2,3,0,0,190,38,48,78,0,0,21,35,57,0,0,34.8882006385281,128.606494662381
경상남도교육청,거제교육지원청,서강유치원,사립(사인),신혜영,박다은(직무대리),20060601,20060601,경상남도 거제시 덕포2길 132-12,055-687-5751,055-687-5752, ,0840시0840분~1730시1730분,2,1,2,0,0,114,38,24,52,0,0,35,20,41,0,0,34.9178884266,128.6938232129
경상남도교육청,거제교육지원청,성균관유치원,사립(사인),김명숙,김명숙,20120921,20130304,경상남도 거제시 마전4길 5,055-681-8955,055-681-8979, ,0900시0900분~1700시1700분,2,2,2,0,0,170,45,56,69,0,0,23,42,47,0,0,34.8609399456075,128.722350018781
경상남도교육청,거제교육지원청,세종유치원,사립(사인),고정이,박영순,20030303,20030303,경상남도 거제시 문동폭포길 17,055-638-1601,055-638-1603, ,0900시0900분~1700시1700분,4,3,4,0,0,252,76,72,104,0,0,76,72,101,0,0,34.8557372083575,128.651395615324
경상남도교육청,거제교육지원청,소리숲유치원,사립(사인),박마리,이효원(직무대리),20100322,20100322,경상남도 거제시 수양2길 31-12,055-636-0625, , ,1300시1300분~1700시1700분,1,1,1,0,0,184,19,24,26,0,0,10,16,17,0,0,34.8913008585451,128.654086875348
경상남도교육청,거제교육지원청,수월초등학교병설유치원,공립(병설),이은하,이은하,19920310,19920310,경상남도 거제시 수양로 420,055-636-8313, ,http://www.suweol.es.kr,0830시0830분~1830시1830분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,1,0,34.8903854661979,128.643323312363
경상남도교육청,거제교육지원청,숲에온유치원,사립(사인),박경란,박경란,20110301,20110301,경상남도 거제시 거제대로 4957,055-634-6806, , ,0900시0900분~1800시1800분,1,1,1,0,0,50,19,24,26,0,0,15,10,18,0,0,34.889722406898,128.595578293353
