교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
경상북도교육청,경산교육지원청,경산꽃재유치원,공립(단설),손수정,손수정,20230301,20130301,경상북도 경산시 하양읍 대학로305길 25,053-854-0398,053-854-0319,https://school.gyo6.net/ksggg,0800시0800분~1900시1900분,1,2,2,0,1,108,16,40,48,0,4,14,28,29,0,4,35.9117356066,128.8190180551
경상북도교육청,경산교육지원청,경산동부초등학교병설유치원,공립(병설),김순남,김순남,20130301,20130301,경상북도 경산시 원효로28길 60-6,053-819-6880,053-819-6890,https://school.gyo6.net/ksdongbues/cm/cntnts/cntntsView.do?mi=151799&cntntsId=151799,0800시0800분~1900시1900분,0,0,0,1,1,24,0,0,0,20,4,0,0,0,7,4,35.8175260635,128.7482418122
경상북도교육청,경산교육지원청,경산서부초등학교병설유치원,공립(병설),김철연,김철연,20001016,20010309,경상북도 경산시 경산로42길 22-11,053-816-8154,053-816-5104, ,1300시1300분~1700시1700분,0,0,0,1,0,24,0,0,0,24,0,0,0,0,8,0,35.8272838391867,128.72906004708
경상북도교육청,경산교육지원청,경산성모유치원,사립(법인),강은경,강은경,20110301,20110301,경상북도 경산시 경산로 118,053-811-8324,053-811-8938, ,0830시0830분~1830시1830분,0,0,1,1,0,106,0,0,48,18,0,0,0,8,5,0,35.819336448,128.7295186592
경상북도교육청,경산교육지원청,경산압량유치원,공립(단설),김종령,김종령,20240301,20240301,경상북도 경산시 압량읍 김유신로 25,053-710-0810,053-710-0814,https://school.gyo6.net/arkg,1250시1250분~1630시1630분,2,1,2,0,1,106,32,22,48,0,4,32,22,42,0,3,35.8396503512,128.7690804529
경상북도교육청,경산교육지원청,경산유치원,공립(단설),김경숙,김경숙,20050301,20050301,경상북도 경산시 삼풍로 25,053-818-8551,053-818-8553,http://school.gyo6.net/kyungsankg,0800시0800분~1900시1900분,2,2,2,0,0,120,32,40,48,0,0,31,40,27,0,0,35.8228886751,128.7552366784
경상북도교육청,경산교육지원청,경산중앙유치원,사립(법인),정연욱,최영미,19820601,19820605,경상북도 경산시 강변동로 358,053-816-8816,053-816-8815,http://www.ja-kindergarten.com,0900시0900분~1700시1700분,2,3,2,1,0,180,38,66,52,24,0,38,66,52,24,0,35.8402954470333,128.729374803817
경상북도교육청,경산교육지원청,경산중앙초등학교병설유치원,공립(병설),심영진,심영진,19950301,19950301,경상북도 경산시 중앙초등길 9,053-815-1686,053-815-1687,https://school.gyo6.net/gsja/main.do,0830시0830분~1700시1700분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,3,0,35.822309637,128.7314696248
경상북도교육청,경산교육지원청,경산초등학교병설유치원,공립(병설),정지혜,정지혜,19870205,19870311,경상북도 경산시 경안로 84,053-717-1705,053-815-2313,https://school.gyo6.net/gyeongsanes,0800시0800분~1900시1900분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,10,0,35.8150988292,128.7396421241
경상북도교육청,경산교육지원청,계당초등학교병설유치원,공립(병설),김태조,김태조,19820302,19820302,경상북도 경산시 와촌면 계당길 27,053-853-7192,053-851-7011,https://school.gyo6.net/kyedang,0830시0830분~1630시1630분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,3,0,35.9283067697,128.8513460505
경상북도교육청,경산교육지원청,계명유치원,사립(사인),손미령,손미령,19930604,19930604,경상북도 경산시 대학로12길 16,053-813-3927,053-813-3928,http://cafe.daum.net/kmk-3927,0900시0900분~1930시1930분,1,1,2,0,0,100,10,16,23,0,0,10,16,23,0,0,35.8325525964629,128.72905273572
경상북도교육청,경산교육지원청,남산초등학교병설유치원,공립(병설),김태룡,김태룡,19810301,19810301,경상북도 경산시 남산면 하남로 316,054-852-5022,054-851-0006,http://school.gyo6.net/kns,0830시0830분~1630시1630분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,2,0,35.7931067199,128.8351544216
경상북도교육청,경산교육지원청,남성초등학교병설유치원,공립(병설),정문주,정문주,19450401,19810301,경상북도 경산시 원효로 375,053-817-8932,053-801-0268,http://school.gyo6.net/namseong,1300시1300분~1700시1700분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,3,0,35.812108295,128.7750707468
경상북도교육청,경산교육지원청,남천초등학교병설유치원,공립(병설),권명숙,권명숙,19810305,19810305,경상북도 경산시 남천면 남천로 481,053-812-9005,053-812-9998,http://school.gyo6.net/namseong,0830시0830분~1700시1700분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,2,0,35.7676539586,128.7249836085
경상북도교육청,경산교육지원청,다문초등학교병설유치원,공립(병설),이유경,이유경,19830302,19830302,경상북도 경산시 다문로70길 85,053-853-7351,053-851-0074,http://school.gyo6.net/damun,0830시0830분~1630시1630분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,5,0,35.871654383,128.8515252313
경상북도교육청,경산교육지원청,대구대학교사범대학부속영광유치원,사립(법인),정진희,정진희,19871207,19880301,경상북도 경산시 대구대로 201,053-850-5776,053-850-5779,https://school.gyo6.net/ygdu/,0840시0840분~1900시1900분,2,2,2,0,0,132,34,44,54,0,0,40,47,43,0,0,35.902642039,128.8461315021
경상북도교육청,경산교육지원청,대동초등학교병설유치원,공립(병설),전영선,전영선,19810301,19810301,경상북도 경산시 와촌면 팔공로 563-14,053-857-5227,053-857-5230,http://school.gyo6.net,0830시0830분~1630시1630분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,6,0,35.9593291614,128.8036716064
경상북도교육청,경산교육지원청,대해유치원,사립(사인),이해순,신주필,20060301,20060301,경상북도 경산시 성암로12길 17-5,053-814-0707,053-814-2034,https://daehae.moapp.kr,0900시0900분~1700시1700분,3,3,3,0,0,288,63,72,75,0,0,60,63,71,0,0,35.8223277785,128.724488188
경상북도교육청,경산교육지원청,라온유치원,사립(사인),백해경,백해경,20110301,20110301,경상북도 경산시 청운2로7길 13-2,053-817-2279,053-817-2280, ,0900시0900분~1700시1700분,1,0,1,1,0,136,18,0,24,24,0,15,0,17,15,0,35.8410613409568,128.750991048174
경상북도교육청,경산교육지원청,민들레유치원,사립(사인),최명희,최명희,20150210,20150301,경상북도 경산시 원효로40길 60,053-814-0028,053-814-0029, ,0800시0800분~1840시1840분,2,2,1,2,0,158,38,46,26,48,0,38,46,26,41,0,35.8144450405647,128.754256994715
경상북도교육청,경산교육지원청,본(BON)유치원,사립(사인),사공경숙,사공경숙,20150301,20150301,경상북도 경산시 선비길 25,053-813-0058,053-813-0086, ,0730시0730분~1930시1930분,2,2,2,1,0,158,38,44,52,24,0,37,39,41,24,0,35.8168418345223,128.726077570394
경상북도교육청,경산교육지원청,부림초등학교병설유치원,공립(병설),김대호,김대호,19810301,19810301,경상북도 경산시 문천길 24,053-854-4330,053-851-9220,https://school.gyo6.net/burymes,0830시0830분~1630시1630분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,3,0,35.898187803,128.8254457839
경상북도교육청,경산교육지원청,삼성현초등학교병설유치원,공립(병설),이성근,이성근,20150217,20150301,경상북도 경산시 경청로216길 20,053-816-0916, , ,0830시0830분~1630시1630분,0,0,0,1,0,20,0,0,0,20,0,0,0,0,5,0,35.7999008897228,128.739506644864
경상북도교육청,경산교육지원청,서부유치원,사립(사인),김주환,유춘임,20051020,20051020,경상북도 경산시 경산로13길 12,053-811-9996,053-811-9992,https://cafe.naver.com/sbkinderg,0730시0730분~1930시1930분,1,2,2,0,0,204,36,36,36,0,0,14,25,36,0,0,35.8149047579681,128.730364600967
경상북도교육청,경산교육지원청,성암초등학교병설유치원,공립(병설),이미영,이미영,20050127,20050127,경상북도 경산시 펜타힐즈3로 21,053-813-0271,053-813-0268, ,0800시0800분~1900시1900분,1,1,1,0,0,60,16,20,24,0,0,16,19,22,0,0,35.8260790856723,128.719286105091
