교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
대구광역시교육청,군위교육지원청,대구군위초등학교병설유치원,공립(병설),김봉수,김봉수,19930301,20230701,대구광역시 군위군 군위읍 동서5길 28,054-380-4381,054-382-8856,https://gunwi.dge.es.kr,0800시0800분~1900시1900분,1,1,1,0,0,60,16,20,24,0,0,4,9,5,0,0,36.2391475674,128.5681842085
대구광역시교육청,남부교육지원청,THE 하늘유치원,사립(사인),신경숙,신경숙,20121030,20130301,대구광역시 달서구 장기로 173,053-527-2700,053-525-2701, ,0750시0750분~1900시1900분,3,3,2,0,0,182,54,72,56,0,0,50,65,59,0,0,35.8425611515302,128.542026160467
대구광역시교육청,남부교육지원청,가야유치원,사립(사인),주설자,주설자,19850708,19850905,대구광역시 달서구 성서동로 350,053-584-2368,053-584-7459,https://kaya.hkapp.kr,0750시0750분~1900시1900분,2,3,2,0,0,210,60,90,60,0,0,37,80,58,0,0,35.8521308005324,128.517365154083
대구광역시교육청,남부교육지원청,개미유치원,사립(사인),유문생,박정희,19891215,19900301,대구광역시 달서구 상원로3길 19-5,053-633-6292,053-289-3378,https://cafe.naver.com/gaemikindergarten,0700시0700분~1900시1900분,3,2,2,0,0,203,45,30,50,0,0,28,26,41,0,0,35.8110053591096,128.535329042064
대구광역시교육청,남부교육지원청,계명유치원,사립(법인),김남석,박연주,19640902,19640902,대구광역시 남구 명덕로20길 24,053-652-5561,053-629-9040,https://www.instagram.com/km_kinder?igsh=MTJ4djJybm92d3JxbQ==,0800시0800분~1900시1900분,2,2,2,0,0,240,80,80,80,0,0,58,64,68,0,0,35.8564048629987,128.579388511264
대구광역시교육청,남부교육지원청,나래유치원,사립(법인),한찬욱,김경숙,19941027,19941027,대구광역시 달서구 계대동문로 123,053-581-8078,053-582-8079, ,0700시0700분~1930시1930분,1,1,2,0,0,94,18,24,56,0,0,11,12,24,0,0,35.8564513541213,128.505343294591
대구광역시교육청,남부교육지원청,대곡가야유치원,사립(사인),최미희,최미희,19911218,19920301,대구광역시 달서구 비슬로538길 7,053-635-2225,053-638-5160, ,0800시0800분~1830시1830분,3,3,3,0,0,242,72,84,86,0,0,69,84,86,0,0,35.8077017297559,128.509601740713
대구광역시교육청,남부교육지원청,대곡유치원,사립(사인),김춘화,김점미,19961125,19961125,대구광역시 달서구 도원로 42,053-638-3500,053-641-7211, ,0700시0700분~1900시1900분,1,1,1,0,0,160,18,24,30,0,0,10,20,28,0,0,35.806024982706,128.535232300285
대구광역시교육청,남부교육지원청,대구감삼초등학교병설유치원,공립(병설),백해순,백해순,20190301,20190301,대구광역시 달서구 당산로 123,053-234-1980,053-567-1329,http://www.gamsam.es.kr,0830시0830분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,3,0,35.8491799778637,128.545145914758
대구광역시교육청,남부교육지원청,대구경상유치원,공립(단설),김양주,김양주,20131028,20160301,대구광역시 남구 현충로48길 31-9,053-234-5550,053-656-7725,http://ksang-i.dge.kg.kr,0800시0800분~1800시1800분,4,3,3,0,2,196,64,56,68,0,8,63,55,68,0,8,35.8533000151,128.5849776923
대구광역시교육청,남부교육지원청,대구덕인초등학교병설유치원,공립(병설),김은선,김은선,19970301,19970301,대구광역시 달서구 대명천로43길 66,053-234-2320,053-557-9781,http://www.dukin.es.kr/,0800시0800분~1730시1730분,1,1,1,0,0,60,16,20,24,0,0,8,6,12,0,0,35.8388695265,128.534477486
대구광역시교육청,남부교육지원청,대구봉덕초등학교병설유치원,공립(병설),라순자,라순자,20200301,20200301,대구광역시 남구 효성로 71,053-234-0587,053-234-0610, ,0800시0800분~1630시1630분,0,0,1,1,0,36,0,0,20,16,0,0,0,15,16,0,35.8396833399,128.5968429031
