교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
대전광역시교육청,동부교육지원청,굿모닝유치원,사립(사인),홍연홍,홍연홍,20050819,20050901,대전광역시 중구 어덕마을로 84-12,042-222-2772,042-222-2774,http://cafe.naver.com/gmkg,0730시0730분~2000시2000분,4,3,3,0,0,260,76,75,81,0,0,76,75,81,0,0,36.3381181889886,127.40535788306
대전광역시교육청,동부교육지원청,금동유치원,사립(사인),공미자,공미자,20060227,20060301,대전광역시 중구 태평로152번길 63,042-533-5800,042-533-2882,https://m.blog.naver.com/geumdong5335800,0700시0700분~2200시2200분,1,1,1,0,0,92,40,24,28,0,0,1,11,7,0,0,36.3274261985749,127.398071610995
대전광역시교육청,동부교육지원청,꿈나무유치원(동부),사립(사인),이금자,구정아,19840123,19840307,대전광역시 동구 옻밭2길 77,042-283-1937,042-282-6800, ,0900시0900분~1700시1700분,1,3,3,2,0,245,20,68,90,48,0,20,68,90,48,0,36.3208623668709,127.449461747887
대전광역시교육청,동부교육지원청,꿈내리유치원,사립(사인),양영자,김무홍,19901221,19910306,대전광역시 중구 당디로 45,042-584-6000,042-584-5603, ,0900시0900분~1700시1700분,2,2,2,0,0,240,30,40,50,0,0,29,28,33,0,0,36.3090562351419,127.391843763703
대전광역시교육청,동부교육지원청,나무와숲유치원,사립(법인),임기춘,임기춘,20200316,20200317,대전광역시 동구 백룡로 65,042-283-0670,042-285-0671,https://blog.naver.com/forest0670,0800시0800분~2200시2200분,0,0,1,1,0,328,0,0,108,105,0,0,0,3,2,0,36.3336080186076,127.45297984945299
대전광역시교육청,동부교육지원청,대전가양유치원,공립(단설),임동숙,임동숙,20120301,20120301,대전광역시 동구 가양로 61,042-633-9984,042-633-6380,http://djgayangkg.djsch.kr/main.do,0800시0800분~1900시1900분,2,2,2,0,2,104,28,34,34,0,8,11,20,24,0,8,36.3421978862,127.4406847692
대전광역시교육청,동부교육지원청,대전가오초등학교병설유치원,공립(병설),조국선,조국선,20060710,20060904,대전광역시 동구 신기로 112,042-281-7004,042-286-1967,http://gaoes.djsch.kr,0800시0800분~1800시1800분,1,1,2,0,0,72,14,18,40,0,0,7,10,13,0,0,36.310841578,127.4585842477
대전광역시교육청,동부교육지원청,대전글꽃초등학교병설유치원,공립(병설),엄성용,엄성용,20270305,20070305,대전광역시 중구 계룡로918번길 97,042-250-4781,042-251-8216,https://gkes.djsch.kr/main.do,0830시0830분~1800시1800분,0,0,1,1,0,37,0,0,20,17,0,0,0,5,6,0,36.3183798827,127.4101734267
대전광역시교육청,동부교육지원청,대전동산초등학교병설유치원,공립(병설),주진숙,주진숙,20040406,20040406,대전광역시 대덕구 동산초교로63번길 50,042-673-3125, , ,0800시0800분~1800시1800분,1,1,0,1,2,49,14,18,0,17,8,11,8,0,10,0,36.3505404655,127.4214298514
대전광역시교육청,동부교육지원청,대전목동초등학교병설유치원,공립(병설),진경자 ,진경자 ,20130301,20130301,대전광역시 중구 목중로19번길 70,042-253-4002,042-257-5245, ,0800시0800분~1800시1800분,0,0,0,1,1,21,0,0,0,17,4,0,0,0,8,4,36.3347811010648,127.408215109092
