교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
부산광역시교육청,남부교육지원청,LG메트로시티유치원,사립(사인),지정출,김숙영,20010801,20010801,부산광역시 남구 분포로 111,051-612-7111,051-612-7115,http://school.busanedu.net/lgmetrocity-k,0900시0900분~1800시1800분,3,2,3,0,0,280,78,52,78,0,0,78,52,77,0,0,35.1268949923919,129.109626054274
부산광역시교육청,남부교육지원청,개림초등학교병설유치원,공립(병설),한태수,한태수,20120301,20120301,부산광역시 부산진구 백양대로320번길 40,051-607-7091,051-607-7097,http://school.busanedu.net/gaerim-k,0700시0700분~1800시1800분,0,1,1,1,0,56,0,19,20,17,0,0,12,17,3,0,35.1563522218,129.0157614828
부산광역시교육청,남부교육지원청,개포초등학교병설유치원,공립(병설),박해순,박해순,20220301,20220301,부산광역시 부산진구 백양대로208번길 9,051-930-8037,051-930-8050,http://school.busanedu.net/gaepo-k,0700시0700분~1900시1900분,0,0,0,1,1,17,0,0,0,14,3,0,0,0,4,3,35.1588322404978,129.026508586091
부산광역시교육청,남부교육지원청,계명유치원,사립(사인),홍옥선,홍옥선,19810401,19810401,부산광역시 남구 동명로145번다길 18,051-623-2637, , ,0700시0700분~2200시2200분,1,1,1,0,0,226,16,22,24,0,0,10,14,18,0,0,35.1208798844328,129.113528341457
부산광역시교육청,남부교육지원청,금란유치원,사립(사인),이영수 김재남 송수진,송수진,19890306,19890306,부산광역시 부산진구 백양관문로 25-29,051-896-5100,051-896-5200, ,0700시0700분~2100시2100분,0,1,1,6,0,198,0,24,26,148,0,0,23,24,146,0,35.1608243514041,129.029450631713
부산광역시교육청,남부교육지원청,늘푸른유치원,사립(사인),김미해,강미경,20020116,20020116,부산광역시 부산진구 복지로 70,051-896-6001,051-896-6007,http://school.busanedu.net/nuelpureun-k/main.do,0700시0700분~1800시1800분,2,1,1,0,0,210,16,24,24,0,0,22,17,17,0,0,35.1472355815788,129.016659357482
부산광역시교육청,남부교육지원청,다원유치원,사립(사인),임재백,임재백,19920104,19920104,부산광역시 부산진구 성지로74번나길 60-8,051-809-7335,051-809-7336,https://cafe.naver.com/dawon8097335,0700시0700분~2100시2100분,0,0,0,7,0,190,0,0,0,172,0,0,0,0,164,0,35.1795394098986,129.05827706232
부산광역시교육청,남부교육지원청,당감초등학교병설유치원,공립(병설),이상옥,이상옥,19970115,19970312,부산광역시 부산진구 당감로 22-5,051-894-5924,051-892-5924,http://school.busanedu.net/danggam-k,0700시0700분~1800시1800분,1,1,1,0,1,53,13,19,18,0,3,4,4,11,0,3,35.1646174105,129.0411170055
부산광역시교육청,남부교육지원청,당평초등학교병설유치원,공립(병설),이은,이은,20190906,20190906,부산광역시 부산진구 백양대로136번길 26,051-890-8577, ,http://school.busanedu.net/dangpyung-k,0700시0700분~1800시1800분,1,1,1,0,1,53,14,18,18,0,3,10,13,10,0,3,35.1614361546,129.0351717653
부산광역시교육청,남부교육지원청,대연자연유치원,사립(사인),전경하,정혜숙,20140129,20140301,부산광역시 남구 수영로 345,051-894-6677, , ,0900시0900분~1900시1900분,0,4,4,4,0,298,0,96,104,88,0,0,96,100,88,0,35.1401304288625,129.103241758765
부산광역시교육청,남부교육지원청,대천유치원,사립(사인),송순임,이명신,19840602,19840602,부산광역시 남구 유엔평화로47번길 125,051-627-5622, , ,0700시0700분~2100시2100분,2,2,2,0,0,174,40,44,44,0,0,33,34,29,0,0,35.1308842635478,129.099096383274
부산광역시교육청,남부교육지원청,동성유치원,사립(법인),최상돈(인산학원),김향숙,19720330,19721002,부산광역시 부산진구 동성로 26,051-802-7145,070-7606-7868,https://school.busanedu.net/dongsungkids-k,0800시0800분~1800시1800분,2,3,3,0,0,280,44,78,78,0,0,44,78,78,0,0,35.1529349001,129.0690964007
부산광역시교육청,남부교육지원청,동일유치원,공립(단설),임승희,임승희,19980301,19980301,부산광역시 동구 구봉로 46,051-468-9882,051-469-1976,www.dongilkid.kg.kr,0700시0700분~1800시1800분,2,2,2,0,1,106,28,35,39,0,4,28,36,33,0,4,35.1250032636,129.037357878
부산광역시교육청,남부교육지원청,롯데캐슬레전드유치원,사립(사인),박옥심,박옥심,20181105,20190301,부산광역시 남구 수영로 135,051-714-6757,051-714-6758, ,0700시0700분~2100시2100분,0,4,3,3,0,252,0,96,78,68,0,0,94,78,66,0,35.13518028475302,129.0803382377695
부산광역시교육청,남부교육지원청,마루유치원,사립(사인),김정림,김정림,20140918,20140918,부산광역시 남구 용주로30번길 69,051-714-7272,070-8233-7277, ,0700시0700분~2100시2100분,0,0,2,5,0,184,0,0,52,124,0,0,0,52,124,0,35.1099473543482,129.113435653739
부산광역시교육청,남부교육지원청,메트로자연유치원,사립(사인),전성하,전은정(직무대리),20030303,20030303,부산광역시 남구 분포로 113,051-612-6677,051-612-6675, ,0700시0700분~1900시1900분,0,0,0,8,0,216,0,0,0,192,0,0,0,0,156,0,35.1272670139,129.1090407663
부산광역시교육청,남부교육지원청,명문글로벌유치원,사립(사인),이자평,신은영,20100304,20100304,부산광역시 남구 진남로232번길 51,051-636-0086,051-636-0686, ,0700시0700분~2200시2200분,0,0,0,4,0,100,0,0,0,100,0,0,0,0,100,0,35.1464327822412,129.078029689195
부산광역시교육청,남부교육지원청,묘음유치원,사립(사인),정정숙,김혜순,20070222,20070222,부산광역시 동구 홍곡남로53번길 19-6,051-465-2277,051-466-9204, ,0700시0700분~2100시2100분,2,2,2,0,0,154,32,48,52,0,0,28,39,42,0,0,35.1248007182484,129.035412761577
부산광역시교육청,남부교육지원청,무지개유치원,사립(사인),윤명희,윤명희,19801231,19801231,부산광역시 남구 못골번영로 72,051-628-2878,051-628-2889, ,0900시0900분~1800시1800분,2,2,2,0,0,160,52,52,52,0,0,52,52,52,0,0,35.1417263061895,129.08907312555
부산광역시교육청,남부교육지원청,문현초등학교병설유치원,공립(병설),송영철,송영철,20120919,20130326,부산광역시 남구 고동골로 86-13,051-946-2122,051-647-4709,http://moonhyun.es.kr/,0700시0700분~1800시1800분,1,1,1,0,1,53,14,18,17,0,4,4,8,7,0,2,35.1453250773473,129.072940341921
부산광역시교육청,남부교육지원청,미소유치원,사립(사인),박보서,권나해,20070110,20070110,부산광역시 부산진구 백양관문로 112,051-891-9844,051-893-9844, ,0700시0700분~2200시2200분,1,0,0,4,0,112,16,0,0,96,0,16,0,0,96,0,35.1685970237093,129.027673600804
부산광역시교육청,남부교육지원청,백합유치원,사립(사인),이창근,이영애,19900301,19900301,부산광역시 남구 석포로73번나길 13,051-624-2980, , ,0700시0700분~2100시2100분,2,1,1,0,0,189,32,24,26,0,0,25,14,16,0,0,35.1265223460463,129.087229216264
부산광역시교육청,남부교육지원청,범일초등학교병설유치원,공립(병설),장남숙,장남숙,20160301,20160301,부산광역시 동구 증산서로 55,051-630-6070,051-630-6060,http://beom-il.es.kr,0700시0700분~1800시1800분,0,0,0,1,0,17,0,0,0,17,0,0,0,0,8,0,35.1394844373,129.0503491513
