교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
세종특별자치시교육청,세종특별자치시교육지원청,가득유치원,공립(단설),채정란,채정란,20170301,20170302,세종특별자치시  세종로 933,044-999-6800,044-999-6824,http://gadeuk.sjedukg.kr,1300시1300분~1700시1700분,3,3,3,0,0,147,39,51,57,0,0,39,51,56,0,0,36.4870553182,127.2435191608
세종특별자치시교육청,세종특별자치시교육지원청,가락유치원,공립(단설),허성숙,허성숙,20150901,20150901,세종특별자치시  마음안1로 22,044-903-1300,044-903-1319,http://garak.sjedukg.kr/,0800시0800분~1900시1900분,3,3,3,0,0,156,31,46,43,0,0,31,46,43,0,0,36.5150838764,127.2308838341
세종특별자치시교육청,세종특별자치시교육지원청,가온유치원,공립(단설),홍명희,홍명희,20140301,20140303,세종특별자치시  보람로 71,044-867-3062,044-867-3064,http://gaon.sjedukg.kr,0800시0800분~1900시1900분,2,2,2,0,1,96,24,32,36,0,4,17,29,34,0,3,36.5146549234242,127.26237094262
세종특별자치시교육청,세종특별자치시교육지원청,감성초등학교병설유치원,공립(병설),김명숙,김명숙,19810301,19810301,세종특별자치시  감성길 6,070-5180-1914,044-866-5934,http://gamsung.sjedues.kr/,0840시0840분~1640시1640분,0,0,0,1,0,16,0,0,0,2,0,0,0,0,2,0,36.4435261251,127.2893731995
세종특별자치시교육청,세종특별자치시교육지원청,글벗유치원,공립(단설),최남희,최남희,20170301,20170302,세종특별자치시  소담3로 26,044-999-7300,044-999-7319,http://geulbeot.sjedukg.kr/,0800시0800분~1900시1900분,3,2,3,0,1,138,42,36,56,0,4,42,36,47,0,3,36.4868439644,127.2984876942
세종특별자치시교육청,세종특별자치시교육지원청,금남초등학교병설유치원,공립(병설),피대섭,피대섭,19810310,19810310,세종특별자치시  금남구즉로 62,044-866-9720,044-866-5935,http://kumnam.sjedues.kr,0800시0800분~1830시1830분,1,1,1,0,0,46,12,16,18,0,0,11,8,10,0,0,36.4723894734004,127.287943822815
세종특별자치시교육청,세종특별자치시교육지원청,나래유치원,공립(단설),류미희,류미희,20140820,20140901,세종특별자치시  달빛1로 107,044-868-3251,044-868-3263,https://narae.sjedukg.kr/,1300시1300분~1900시1900분,3,3,3,0,1,142,36,48,54,0,4,35,36,41,0,2,36.5088548836005,127.245474776981
세종특별자치시교육청,세종특별자치시교육지원청,나루초등학교병설유치원,공립(병설),채명숙,채명숙,20230301,20230301,세종특별자치시 집현서로 90,044-960-9712,044-960-9799,https://naru.sjedues.kr/,0800시0800분~1900시1900분,2,3,3,0,1,142,27,53,58,0,4,27,53,58,0,4,36.495376034972,127.323711283369
세종특별자치시교육청,세종특별자치시교육지원청,늘봄유치원,공립(단설),최은영,최은영,20150301,20150301,세종특별자치시  다솜1로 175,044-903-2400,044-903-2415,http://neulbom.sjedukg.kr/index.do?sso=ok,0800시0800분~1700시1700분,2,2,1,0,1,74,24,32,14,0,4,22,17,12,0,2,36.5143617141,127.2551313035
세종특별자치시교육청,세종특별자치시교육지원청,다빛유치원,공립(단설),정지우,정지우,20150301,20150303,세종특별자치시  달빛1로 5,044-903-3800,044-903-3819,http://dabit.sjedukg.kr,0800시0800분~1900시1900분,2,2,2,0,1,96,24,32,36,0,4,14,31,25,0,4,36.4998636487459,127.244435040174
세종특별자치시교육청,세종특별자치시교육지원청,다정유치원,공립(단설),민순이,민순이,20180301,20180305,세종특별자치시 다정남로 33,044-902-2500,044-902-2519,http://dajeong.sjedukg.kr,1300시1300분~1700시1700분,2,3,3,0,1,120,26,44,49,0,1,26,44,49,0,1,36.4935067977,127.2439143614
세종특별자치시교육청,세종특별자치시교육지원청,대평유치원,공립(단설),박민자,박민자,20180301,20180301,세종특별자치시  대평1길 17,044-902-7000,044-902-7029,http://daepyeong.sjedukg.kr,0800시0800분~1900시1900분,2,2,2,0,0,104,28,36,40,0,0,23,27,29,0,0,36.4699956713,127.2792277603
세종특별자치시교육청,세종특별자치시교육지원청,도담유치원,공립(단설),김용주,김용주,20130301,20130304,세종특별자치시  보람로 33,044-715-5400,044-715-5410,http://dodam.sjedukg.kr,0900시0900분~1700시1700분,2,2,2,0,0,92,24,32,36,0,0,15,32,36,0,0,36.5117540103013,127.262451732458
세종특별자치시교육청,세종특별자치시교육지원청,두루유치원,공립(단설),정진숙,정진숙,20150301,20150301,세종특별자치시  만남로 223,044-903-2900,044-903-2915,http://duru.sjedukg.kr,0800시0800분~1900시1900분,0,0,0,6,1,96,0,0,0,92,4,0,0,0,81,2,36.5191625231,127.2386775166
세종특별자치시교육청,세종특별자치시교육지원청,미르유치원,공립(단설),정안숙,정안숙,20140301,20140301,세종특별자치시  나리로 26-10,044-998-2109,044-998-2116,http://mir.sjedukg.kr,1300시1300분~1700시1700분,2,2,2,0,1,102,26,34,38,0,4,25,33,24,0,3,36.4731303792895,127.254480367046
세종특별자치시교육청,세종특별자치시교육지원청,바른유치원,공립(단설),박해연,박해연,20240301,20240301,세종특별자치시 산울3로 35,044-905-2700, ,https://bareun.sjedukg.kr/,0730시0730분~1900시1900분,4,4,4,0,1,216,56,70,86,0,4,56,71,86,0,4,36.529762253891,127.25810956443
세종특별자치시교육청,세종특별자치시교육지원청,반곡유치원,공립(단설),최승희,최승희,20200301,20200301,세종특별자치시 시청대로 464,044-902-7100,044-902-7170,http://bangoku.sjedukg.kr,0900시0900분~1700시1700분,3,3,4,0,1,180,42,54,80,0,4,42,52,64,0,3,36.5006639347,127.3101009698
세종특별자치시교육청,세종특별자치시교육지원청,부강초등학교병설유치원,공립(병설),김태환,김태환,19811212,19811212,세종특별자치시  부강로 15,044-902-1690,044-902-1675,http://bugang.sjedues.kr/index.do?sso=ok,0800시0800분~1840시1840분,1,0,0,1,1,32,12,0,0,16,4,8,0,0,13,0,36.527527616783,127.36672505355
세종특별자치시교육청,세종특별자치시교육지원청,산울유치원,공립(단설),민현숙,민현숙,20240901,20240901,세종특별자치시 산울8로 1,044-905-5400,044-905-5448,https://sanul.sjedukg.kr/sanul-k/main.do,0730시0730분~1900시1900분,4,4,4,0,2,216,54,68,86,0,8,55,68,86,0,8,36.5320384176818,127.263450530962
세종특별자치시교육청,세종특별자치시교육지원청,새뜸유치원,공립(단설),전경숙,전경숙,20170301,20170302,세종특별자치시  새롬중앙로 38-11,044-999-7800,044-999-7823,http://saetteum.sjedukg.kr,1300시1300분~1700시1700분,5,4,4,0,1,209,64,68,74,0,3,58,57,71,0,3,36.4856375341,127.2527460532
세종특별자치시교육청,세종특별자치시교육지원청,새롬유치원,공립(단설),김미리,김미리,20170301,20170302,세종특별자치시  새롬서로 56,044-999-7900,044-999-7919,http://saerom.sjedukg.kr,0800시0800분~1900시1900분,4,3,4,0,1,179,52,51,72,0,4,50,51,60,0,3,36.4855632096,127.2486613543
세종특별자치시교육청,세종특별자치시교육지원청,새샘유치원,공립(단설),곽효경,곽효경,20160901,20160901,세종특별자치시  소담4로 14,044-999-5100,044-999-5129,http://saesaem.sjedukg.kr,0800시0800분~1900시1900분,3,3,2,0,1,145,42,54,40,0,4,41,46,29,0,1,36.4780887836,127.286368919
세종특별자치시교육청,세종특별자치시교육지원청,새솔유치원,공립(단설),송석례,송석례,20180301,20180301,세종특별자치시  다정4길 15,044-902-2900,044-902-2929,https://saesol.sjedukg.kr,0800시0800분~1900시1900분,3,2,1,0,1,92,37,32,19,0,4,35,18,20,0,3,36.498212606,127.2376786583
세종특별자치시교육청,세종특별자치시교육지원청,새움유치원,공립(단설),홍태희,홍태희,20180301,20180302,세종특별자치시  다정남로 91,044-902-2700,044-902-2729,http://saeum.sjedukg.kr/,0730시0730분~1900시1900분,3,3,3,0,1,147,39,50,56,0,2,39,39,39,0,2,36.4939031036,127.2509648394
세종특별자치시교육청,세종특별자치시교육지원청,세종도원초등학교병설유치원,공립(병설),이수진,이수진,20090302,20090302,세종특별자치시  도원로 63,044-960-8681,044-960-8679,https://ygdowon.sjedues.kr/index.do?sso=ok,0800시0800분~1630시1630분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,7,0,36.5858771585614,127.287359932505
세종특별자치시교육청,세종특별자치시교육지원청,소정초등학교병설유치원,공립(병설),서태성,서태성,19820310,19820310,세종특별자치시  학교말길 10,044-566-6009,044-566-6465,https://sojeong.sjedues.kr/sojeong-e/main.do?sso=ok,1230시1230분~1630시1630분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,6,0,36.7211589098,127.1590358682
세종특별자치시교육청,세종특별자치시교육지원청,솔빛숲유치원,공립(단설),박수미,박수미,20190301,20190304,세종특별자치시  반곡3길 10,044-410-2000,044-410-2029,http://solbitsup.sjedukg.kr/index.do?sso=ok,0900시0900분~1700시1700분,0,0,0,8,1,144,0,0,0,144,6,0,0,0,136,6,36.4939865,127.3139395
세종특별자치시교육청,세종특별자치시교육지원청,슬기유치원,공립(단설),김지윤,김지윤,20150301,20150303,세종특별자치시  만남로 264,044-716-6301,044-716-6336,http://seulgi.sjedukg.kr/,0800시0800분~1900시1900분,2,2,2,0,1,96,24,32,36,0,4,15,24,27,0,0,36.520462019924,127.241766343557
세종특별자치시교육청,세종특별자치시교육지원청,쌍류초등학교병설유치원,공립(병설),최경희,최경희,19820302,19820302,세종특별자치시  벌말길 73,044-863-0284,044-863-5711,http://ssr.sjedues.kr,0840시0840분~1640시1640분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,1,0,36.599297804418,127.209969799147
세종특별자치시교육청,세종특별자치시교육지원청,아름유치원,공립(단설),성은숙,성은숙,20140301,20140301,세종특별자치시 달빛2로 29,044-998-3120,044-998-3125,https://areum.sjedukg.kr/index.do?sso=ok,0730시0730분~1900시1900분,2,3,2,0,1,108,24,48,36,0,4,15,40,29,0,0,36.5151289642,127.2448682824
세종특별자치시교육청,세종특별자치시교육지원청,양지유치원,공립(단설),박용미,박용미,20141101,20141101,세종특별자치시  보듬8로 13,044-866-6021,044-866-7514,http://yangji.sjedukg.kr,0730시0730분~1900시1900분,2,3,3,0,1,146,28,54,60,0,4,22,40,48,0,4,36.5184993646,127.2603104733
세종특별자치시교육청,세종특별자치시교육지원청,여울유치원,공립(단설),노길자,노길자,20170301,20170301,세종특별자치시  보람1길 15,044-999-6200,044-999-6219,http://yeoul.sjedukg.kr,1300시1300분~1900시1900분,3,4,3,0,1,177,42,72,60,0,3,41,57,52,0,2,36.4756414947,127.2849208865
세종특별자치시교육청,세종특별자치시교육지원청,연남초등학교병설유치원,공립(병설),조정대,조정대,19990308,19990308,세종특별자치시  연기길 2,044-860-9380, , ,0830시0830분~1630시1630분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,7,0,36.5436485563,127.2783392962
세종특별자치시교육청,세종특별자치시교육지원청,연봉초등학교병설유치원,공립(병설),박은주,박은주,19810201,19810302,세종특별자치시  당산로 357-1,044-867-5509,044-867-5712,https://yeonbong.sjedues.kr,0830시0830분~1630시1630분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,9,0,36.5642869724543,127.282349685145
세종특별자치시교육청,세종특별자치시교육지원청,연양유치원,공립(단설),유정님,유정님,20140303,20140303,세종특별자치시  도움3로 47-9,044-998-7405,044-998-7408,http://yeonyang.sjedukg.kr,1300시1300분~1700시1700분,2,3,3,0,0,142,24,48,54,0,0,24,34,51,0,0,36.5027672165,127.2555167781
세종특별자치시교육청,세종특별자치시교육지원청,온빛유치원,공립(단설),김정남,김정남,20150301,20150301,세종특별자치시 만남로 170,044-716-6505,044-716-6535,https://onbit.sjedukg.kr,0800시0800분~1900시1900분,3,2,1,0,1,90,36,32,18,0,4,32,23,18,0,4,36.5143254588128,127.239964150938
세종특별자치시교육청,세종특별자치시교육지원청,올망유치원,공립(단설),김창순,김창순,20150301,20150401,세종특별자치시  도움1로 43,044-716-6402,044-716-6436,http://olmang.sjedukg.kr,1300시1300분~1700시1700분,2,2,2,0,1,106,24,32,36,0,4,24,26,21,0,4,36.5010146738,127.254640812
세종특별자치시교육청,세종특별자치시교육지원청,으뜸유치원,공립(단설),김한라,김한라,20150301,20150301,세종특별자치시  마음로 130,044-716-6125,044-716-6135,https://eutteum.sjedukg.kr,0800시0800분~1900시1900분,3,3,2,0,1,120,36,48,36,0,4,31,36,33,0,0,36.5092166479,127.2308064297
세종특별자치시교육청,세종특별자치시교육지원청,의랑초등학교병설유치원,공립(병설),임미경,임미경,19831109,19831109,세종특별자치시  태산길 50-1,044-855-0868,044-855-0788,http://uirang.sjedues.kr,1240시1240분~1640시1640분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,4,0,36.5503865316416,127.190886096722
세종특별자치시교육청,세종특별자치시교육지원청,장기초등학교병설유치원,공립(병설),윤명희,윤명희,19810312,19810312,세종특별자치시  장척로 398-9,044-858-1249, , ,1240시1240분~1640시1640분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,7,0,36.4962950383096,127.205903372646
세종특별자치시교육청,세종특별자치시교육지원청,전동초등학교병설유치원,공립(병설),이경희,이경희,19810310,19810312,세종특별자치시  하노장3길 9,044-863-1248,044-863-1248, ,1240시1240분~1840시1840분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,2,0,36.6565726225,127.2657020308
세종특별자치시교육청,세종특별자치시교육지원청,조치원교동초등학교병설유치원,공립(병설),한형주,한형주,19810602,19810602,세종특별자치시  새내18길 21,044-902-4874,044-902-4860,http://jk.sjedues.kr/index.do?sso=ok,0800시0800분~1840시1840분,0,0,1,1,1,38,0,0,18,16,4,0,0,14,10,1,36.6057781344,127.2984302368
세종특별자치시교육청,세종특별자치시교육지원청,조치원대동초등학교병설유치원,공립(병설),김경안,김경안,19810301,19810301,세종특별자치시  대동학교길 11,044-861-4690,044-867-3423,https://jdd.sjedues.kr/,0740시0740분~1840시1840분,1,1,1,0,1,46,12,16,18,0,4,8,16,14,0,2,36.5966803034705,127.293761692657
세종특별자치시교육청,세종특별자치시교육지원청,조치원명동초등학교병설유치원,공립(병설),김지영,김지영,19810603,19810603,세종특별자치시  조치원10길 35,044-862-5452,044-866-9990,http://jmd.sjedues.kr/index.do?sso=ok,1240시1240분~1640시1640분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,2,0,36.6011360463,127.3047747996
세종특별자치시교육청,세종특별자치시교육지원청,조치원신봉초등학교병설유치원,공립(병설),김미화,김미화,19810424,19810424,세종특별자치시  조치원읍 서북부로 10 (조치원읍. 신봉초등학교),044-902-1470, , ,1230시1230분~1630시1630분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,10,0,36.6038361423,127.2881506076
세종특별자치시교육청,세종특별자치시교육지원청,집현유치원,공립(단설),안도임,안도임,20220301,20220301,세종특별자치시 집현서로 25,044-902-4700, ,https://jiphyeon.sjedukg.kr/,1300시1300분~1700시1700분,4,4,5,0,1,228,55,72,98,0,3,55,72,87,0,3,36.4894823151155,127.320568022969
세종특별자치시교육청,세종특별자치시교육지원청,참샘유치원,공립(단설),박소영,박소영,20120301,20120301,세종특별자치시  노을1로 27,044-868-1791,044-864-1795,http://charmsaem.sjedukg.kr,1300시1300분~1700시1700분,2,2,2,0,1,102,26,34,38,0,4,25,23,25,0,3,36.4794852389243,127.259370839987
세종특별자치시교육청,세종특별자치시교육지원청,초롱별유치원,공립(단설),김광보,김광보,20150301,20150301,세종특별자치시  다솜1로 130,044-903-2600,044-903-2615,https://chorong.sjedukg.kr,0800시0800분~1900시1900분,1,1,1,0,1,50,12,16,18,0,4,5,11,10,0,2,36.5097489385,127.256587132
세종특별자치시교육청,세종특별자치시교육지원청,한빛유치원,공립(단설),안은희,안은희,20170205,20170301,세종특별자치시  시청대로 106,044-999-5800,044-999-5823,http://hanbit.sjedukg.kr/index.do?sso=ok,0800시0800분~1900시1900분,3,2,2,0,1,122,42,36,40,0,4,28,33,24,0,4,36.4783254257,127.2840469448
세종특별자치시교육청,세종특별자치시교육지원청,한솔유치원,공립(단설),송희숙,송희숙,20120901,20120901,세종특별자치시 누리로 30,044-410-4510,044-410-4523,http://sjhansol.sjedukg.kr,0800시0800분~1900시1900분,2,2,2,0,1,102,26,34,38,0,4,20,27,31,0,3,36.4775789479643,127.252524746972
세종특별자치시교육청,세종특별자치시교육지원청,해들유치원,공립(단설),김덕자,김덕자,20180223,20180305,세종특별자치시  보람서로 29,044-902-2400,044-902-2429,http://haedeul.sjedukg.kr/,0800시0800분~1900시1900분,3,2,2,0,1,118,42,34,38,0,4,32,31,26,0,4,36.4735955599,127.2827755259
세종특별자치시교육청,세종특별자치시교육지원청,해밀유치원,공립(단설),박성순,박성순,20200901,20200901,세종특별자치시  해밀1로 75,044-902-0700,044-902-0729,https://haemil.sjedukg.kr/index.do?sso=ok,0800시0800분~1900시1900분,2,3,3,0,1,142,28,53,59,0,2,28,53,59,0,2,36.5249373767401,127.26896849346
세종특별자치시교육청,세종특별자치시교육청,고운유치원,공립(단설),김민송,김민송,20150301,20150301,세종특별자치시  만남로 47,044-716-6200,044-716-6236,http://gowoon.sjedukg.kr,1300시1300분~1900시1900분,4,4,4,0,1,184,47,62,71,0,4,47,62,68,0,4,36.5041805273,127.2371596042
세종특별자치시교육청,세종특별자치시교육청,나성유치원,공립(단설),이옥순,이옥순,20210301,20210301,세종특별자치시  중앙공원서로 11,044-902-0500,044-902-0530,https://naseong.sjedukg.kr/,0900시0900분~1700시1700분,3,3,3,0,2,152,38,51,55,0,8,38,51,55,0,5,36.4896602991,127.2651625737
세종특별자치시교육청,세종특별자치시교육청,도란유치원,공립(단설),임인옥,임인옥,20150303,20150303,세종특별자치시  도움3로 126,044-903-2800,044-903-2814,http://doran.sjedukg.kr,0900시0900분~1700시1700분,3,3,2,0,1,124,36,48,36,0,4,36,38,31,0,4,36.5053681465,127.2468981505
세종특별자치시교육청,세종특별자치시교육청,보람유치원,공립(단설),오명숙,오명숙,20160310,20160401,세종특별자치시 남세종로 416,044-903-0200,044-903-0243,https://boram.sjedukg.kr,0800시0800분~1900시1900분,3,3,3,0,1,156,42,54,57,0,3,42,54,56,0,3,36.478935,127.293346
세종특별자치시교육청,세종특별자치시교육청,소담유치원,공립(단설),김덕순,김덕순,20160601,20160601,세종특별자치시  소담1로 25,044-903-0100,044-903-0123,http://sodam.sjedukg.kr,0800시0800분~1900시1900분,3,3,3,0,1,156,42,53,58,0,3,42,53,58,0,3,36.4837187228,127.3014389837
세종특별자치시교육청,세종특별자치시교육청,솔빛초등학교병설유치원,공립(병설),최수영,최수영,20220301,20220301,세종특별자치시  반곡2길 21,044-410-2590,044-410-2597,http://solbit.sjedues.kr,0800시0800분~1900시1900분,1,1,2,0,0,70,14,18,40,0,0,14,17,34,0,0,36.4957602219,127.312273694
세종특별자치시교육청,세종특별자치시교육청,연동초등학교병설유치원,공립(병설),서기원,서기원,19250518,19810310,세종특별자치시  청연로 606-36,044-864-7831,044-866-9992,https://yd.sjedues.kr/index.do?sso=ok,0830시0830분~1630시1630분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,1,0,36.5600774496,127.3266504523
세종특별자치시교육청,세종특별자치시교육청,연서초등학교병설유치원,공립(병설),이강의,이강의,19810312,19810312,세종특별자치시 연서면 연서로 148,044-867-3452,044-867-7134,http://yeonseo.sjedues.kr/,1230시1230분~1630시1630분,0,0,0,1,0,18,0,0,0,16,0,0,0,0,6,0,36.5828824302,127.2541158305
세종특별자치시교육청,세종특별자치시교육청,연세유치원,공립(단설),김선정,김선정,20130901,20130901,세종특별자치시  다솜로 291,044-905-6599,044-865-3752,https://yeonse.sjedukg.kr,1300시1300분~1900시1900분,2,2,2,0,0,104,24,32,36,0,0,14,22,28,0,0,36.5057547921,127.271877665
세종특별자치시교육청,세종특별자치시교육청,전의초등학교병설유치원,공립(병설),조일행,조일행,19810201,19810302,세종특별자치시 전의면 운주산로 1204-9,044-862-3850,044-863-6552,https://jeonui.sjedues.kr/,1240시1240분~1640시1640분,0,0,0,1,1,20,0,0,0,16,4,0,0,0,6,1,36.680698979,127.202957506
세종특별자치시교육청,세종특별자치시교육청,종촌유치원,공립(단설),최재숙,최재숙,20150301,20150301,세종특별자치시  도움1로 164,044-903-3900,044-903-2979,http://jongchon.sjedukg.kr,0800시0800분~1900시1900분,3,2,2,0,1,124,36,32,36,0,4,28,30,26,0,4,36.5024928288,127.2416717074
세종특별자치시교육청,세종특별자치시교육청,한결유치원,공립(단설),김미현,김미현,20180301,20180301,세종특별자치시  다정북로 137,044-902-2600,044-902-2629,http://hangyeol.sjedukg.kr,0800시0800분~1900시1900분,2,3,3,0,1,138,26,51,57,0,4,25,49,56,0,3,36.496812986,127.2453087351
