교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
울산광역시교육청,강남교육지원청,강남새싹유치원,사립(사인),전숙자,변외식,19800229,19800229,울산광역시 남구 중앙로28번길 5-11,052-273-2363,052-257-2363, ,0830시0830분~1800시1800분,2,2,2,0,0,150,50,50,50,0,0,24,32,38,0,0,35.5245748168924,129.318613334508
울산광역시교육청,강남교육지원청,강남초등학교병설유치원,공립(병설),김미정,김미정,19470901,19850301,울산광역시 남구 중앙로166번길 51,052-220-6370,052-268-1814,http://www.kangnam.es.kr,0800시0800분~1800시1800분,0,0,1,1,2,36,0,0,20,16,8,0,0,7,9,8,35.5381925375,129.3188909823
울산광역시교육청,강남교육지원청,구영유치원,공립(단설),박은미,박은미,20100301,20100308,울산광역시 울주군 모두박길 10-5,052-248-5026,052-248-5029,https://school.use.go.kr/guyeong-k,0730시0730분~1930시1930분,2,2,2,0,2,105,27,33,37,0,8,24,21,37,0,8,35.5659947976207,129.250737633593
울산광역시교육청,강남교육지원청,금란유치원,사립(사인),최성봉,최해주,19900319,19900319,울산광역시 남구 중앙로 15,052-256-6851,052-256-6852, ,0750시0750분~1830시1830분,2,1,1,0,0,120,60,30,30,0,0,56,30,30,0,0,35.523014947694,129.318450213503
울산광역시교육청,강남교육지원청,꿈밭유치원,사립(사인),최지영,최지영,19990901,19990901,울산광역시 울주군 삼정로 92-23,052-222-3500,052-222-3502, ,0750시0750분~1840시1840분,1,2,1,0,0,240,30,60,30,0,0,22,28,15,0,0,35.4948769317766,129.239270396192
울산광역시교육청,강남교육지원청,남산초등학교병설유치원,공립(병설),조진희,조진희,20080301,20080301,울산광역시 남구 거마로 17,052-267-1702,052-267-0660,http://www.uns.es.kr,0740시0740분~1800시1800분,0,0,1,1,0,36,0,0,20,16,0,0,0,9,12,0,35.5369564757,129.2958644459
울산광역시교육청,강남교육지원청,남선미유치원,사립(사인),이재선,이재선,19950830,19950830,울산광역시 남구 돋질로302번길 8,052-269-1801,052-269-1802, ,0900시0900분~1930시1930분,2,2,2,0,0,180,44,52,58,0,0,44,51,54,0,0,35.5434429184965,129.337441204852
울산광역시교육청,강남교육지원청,노벨유치원,사립(사인),김광연,정혜미,19920305,19920305,울산광역시 남구 돋질로 254,052-265-7333,052-276-7555, ,0730시0730분~2000시2000분,3,2,1,0,0,170,50,40,26,0,0,49,37,26,0,0,35.5432284616844,129.332933758873
울산광역시교육청,강남교육지원청,대현초등학교병설유치원,공립(병설),전용기,전용기,19860301,19860301,울산광역시 남구 수암로 165-3,052-220-1597,052-220-1578,https://school.use.go.kr/daehyun-e/M01,0800시0800분~1730시1730분,0,0,1,1,0,36,0,0,20,16,0,0,0,10,4,0,35.528081254,129.3256237053
울산광역시교육청,강남교육지원청,덕신초등학교병설유치원,공립(병설),천남미,천남미,19750719,19830301,울산광역시 울주군 온산읍 서영남1길 27,052-239-8807,052-238-1690,http://www.duksin.es.kr,0730시0730분~1800시1800분,1,1,1,0,1,56,14,18,20,0,4,4,7,20,0,4,35.4371991159,129.305467953
