교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
인천광역시교육청,강화교육지원청,갑룡초등학교병설유치원,공립(병설),김성환,김성환,19850901,19850901,인천광역시 강화군 강화읍 갑룡길 88,032-934-9515,032-934-9517,http://gabryong.icees.kr/main.do,0840시0840분~1900시1900분,1,1,1,0,1,49,11,16,18,0,4,7,9,16,0,4,37.744826660074,126.502625387759
인천광역시교육청,강화교육지원청,강화유치원,사립(법인),심재수,문선영,19260410,19260410,인천광역시 강화군 강화읍 관청길 22,032-934-2221,032-934-2278, ,0730시0730분~1900시1900분,1,1,1,0,0,80,14,18,20,0,0,5,7,18,0,0,37.7499192832677,126.487336835231
인천광역시교육청,강화교육지원청,교동초등학교병설유치원,공립(병설),전혜영,전혜영,19810307,19810307,인천광역시 강화군 교동면 대룡안길 29,032-627-6115,032-933-4012,http://kd.icees.kr,0830시0830분~1900시1900분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,6,0,37.783450831,126.2841589603
인천광역시교육청,강화교육지원청,내가초등학교병설유치원,공립(병설),박성수,박성수,19810309,19810309,인천광역시 강화군 내가면 강화서로 264,032-627-6094,032-627-6102,http://naega.icees.kr,0830시0830분~1700시1700분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,10,0,37.7215966807,126.3902863849
인천광역시교육청,강화교육지원청,대월초등학교병설유치원,공립(병설),정지영,정지영,19820308,19820308,인천광역시 강화군 강화읍 대월로 216,032-627-2320,032-932-2954,https://i-daewol.icees.kr/main.do,0840시0840분~1800시1800분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,5,0,37.761770009,126.4897097865
인천광역시교육청,강화교육지원청,마니산유치원,공립(단설),장희경,장희경,20110301,20110301,인천광역시 강화군 양도면 강화남로 510-1,032-937-3153,032-937-3065,http://manisan.icekg.kr,0910시0910분~1900시1900분,1,2,2,0,2,79,9,30,32,0,8,4,10,13,0,6,37.6536531313692,126.437627446195
인천광역시교육청,강화교육지원청,명신초등학교병설유치원,공립(병설),김상훈,김상훈,19820309,19820309,인천광역시 강화군 하점면 강화서로560번길 22,032-627-6633,032-627-6652,http://ms.icees.kr,0830시0830분~1900시1900분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,2,0,37.7446098506374,126.389678147248
인천광역시교육청,강화교육지원청,삼산초등학교병설유치원,공립(병설),김정자,김정자,19810305,19810305,인천광역시 강화군 삼산면 삼산북로 451,032-627-1090,032-932-3912,http://samsan.icees.kr/,0830시0830분~1800시1800분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,1,0,37.7038087678,126.3217336014
인천광역시교육청,강화교육지원청,선원초등학교병설유치원,공립(병설),안수자,안수자,19810301,19810301,인천광역시 강화군 선원면 강화동로 924,032-627-5990,032-933-9235,http://sunwon.icees.kr,0840시0840분~1900시1900분,1,1,1,0,0,45,11,16,18,0,0,10,3,12,0,0,37.7153721477013,126.4794418575
인천광역시교육청,강화교육지원청,송해초등학교병설유치원,공립(병설),박성일,박성일,19810301,19810301,인천광역시 강화군 송해면 전망대로 93-12,032-550-5925,032-934-9718,http://songhae.icees.kr,0830시0830분~1800시1800분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,4,0,37.7704293002,126.4592289384
