교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
제주특별자치도교육청,서귀포시교육지원청,강정초등학교병설유치원,공립(병설),현정임,현정임,19820305,19820305,제주특별자치도 서귀포시 말질로 188,064-735-8717,064-735-8777,http://www.gangjong.es.kr,0830시0830분~1730시1730분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,2,0,33.2350090236,126.4786659416
제주특별자치도교육청,서귀포시교육지원청,남원유치원,사립(법인),강영선,강영선,19800328,19800328,제주특별자치도 서귀포시 남한로 27,064-764-0040,064-764-9940,https://school.jje.go.kr/namwoni,0730시0730분~1930시1930분,1,1,1,0,0,78,26,26,26,0,0,11,16,15,0,0,33.2814720451,126.7169288399
제주특별자치도교육청,서귀포시교육지원청,대정서초등학교병설유치원,공립(병설),정두길,정두길,19810204,19810204,제주특별자치도 서귀포시 동일하모로 43,064-795-5600,064-794-0780,http://djseo.jje.es.kr/,0830시0830분~1700시1700분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,10,0,33.2321935872,126.2391212281
제주특별자치도교육청,서귀포시교육지원청,대정초등학교병설유치원,공립(병설),고경희,고경희,19840310,19840310,제주특별자치도 서귀포시 상모대서로 15,064-786-0728,064-794-2202,http://daejung.jje.es.kr/daejung-e/0701/sub,0820시0820분~1700시1700분,0,0,2,0,0,44,0,0,44,0,0,0,0,35,0,0,33.2253992233,126.2553986406
제주특별자치도교육청,서귀포시교육지원청,도순초등학교병설유치원,공립(병설),김이,김이,20200301,20200301,제주특별자치도 서귀포시 도순남로 83,064-730-0353,064-739-4261,https://dosun.jje.es.kr,0830시0830분~1700시1700분,0,1,1,0,0,38,0,16,22,0,0,0,16,20,0,0,33.2475799039,126.4772269581
제주특별자치도교육청,서귀포시교육지원청,동남초등학교병설유치원,공립(병설),고영해,고영해,19810305,19810305,제주특별자치도 서귀포시 고성오조로 55,064-786-5870,064-786-5899,http://dongnam.jje.es.kr,0830시0830분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,18,0,33.4491932812354,126.913907699976
제주특별자치도교육청,서귀포시교육지원청,무릉초등학교병설유치원,공립(병설),김현아,김현아,19810312,19810312,제주특별자치도 서귀포시 대정읍 서삼중로 106,064-793-5360,064-792-5303,http://murung.jje.es.kr,0830시0830분~1700시1700분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,2,0,33.272816601,126.2014434632
제주특별자치도교육청,서귀포시교육지원청,법환초등학교병설유치원,공립(병설),김형철,김형철,19850202,19850202,제주특별자치도 서귀포시 이어도로 879,064-739-2798,064-739-2798, ,0830시0830분~1730시1730분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,16,0,33.23749053894,126.508686177018
제주특별자치도교육청,서귀포시교육지원청,보목초등학교병설유치원,공립(병설),김용민,김용민,19950309,19950309,제주특별자치도 서귀포시 마소물로8번길 9,064-735-3590,064-735-3501,http://www.bomok.es.kr,0830시0830분~1730시1730분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,7,0,33.2449493554533,126.599983165356
제주특별자치도교육청,서귀포시교육지원청,보성초등학교병설유치원,공립(병설),김성철,김성철,19810309,19810309,제주특별자치도 서귀포시 추사로55번길 6-1,064-7973371,064-797-3399,https://jejuboseong.jje.es.kr/,0830시0830분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,9,0,33.2498373844269,126.275912772347
제주특별자치도교육청,서귀포시교육지원청,사계초등학교병설유치원,공립(병설),강혜정,강혜정,19810214,19810310,제주특별자치도 서귀포시 산방로 346,064-795-7118,064-795-7199,http://sagye.jje.es.kr,0830시0830분~1700시1700분,0,0,0,1,0,18,0,0,0,18,0,0,0,0,12,0,33.2337531245,126.2996634372
