교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
충청남도교육청,공주교육지원청,경천초등학교병설유치원,공립(병설),이상원,이상원,19870304,19870304,충청남도 공주시 신원사로 112,041-852-1050, , ,0830시0830분~1830시1830분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,5,0,36.324431113,127.1500016322
충청남도교육청,공주교육지원청,계룡초등학교병설유치원,공립(병설),정이경,정이경,19810306,19810306,충청남도 공주시 영규대사로 459,041-857-9125,041-857-5025,http://gyeryong.cnees.kr/main.do,0840시0840분~1640시1640분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,5,0,36.3580089116,127.1417948703
충청남도교육청,공주교육지원청,공주교동초등학교병설유치원,공립(병설),임향,임향,19840312,19840312,충청남도 공주시 용당길 69-6,041-856-9949,041-854-3928,https://공주교동초등학교병설유치원.co.kr ,0840시0840분~1640시1640분,0,0,0,1,1,18,0,0,0,14,4,0,0,0,8,2,36.4600680321797,127.116521166116
충청남도교육청,공주교육지원청,공주금학초등학교병설유치원,공립(병설),김양미,김양미,19810310,19810310,충청남도 공주시 공주고담길 19,041-856-8775,041-854-2052, ,0840시0840분~1640시1640분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,3,0,36.4473525202298,127.125457686986
충청남도교육청,공주교육지원청,공주봉황초등학교병설유치원,공립(병설),이춘숙,이춘숙,19810310,19810310,충청남도 공주시 오거리길 5,041-856-4841,041-856-9360,http://www.kjbh.cness.kr,0840시0840분~1640시1640분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,4,0,36.44963057,127.1211428233
충청남도교육청,공주교육지원청,공주신월초등학교병설유치원,공립(병설),강선화,강선화,20020311,20020311,충청남도 공주시 번영1로 193,041-881-5016,041-881-5015,http://gsw.cnees.kr/main.do,0840시0840분~1840시1840분,0,0,1,1,0,36,0,0,20,16,0,0,0,15,6,0,36.4732383028,127.1490399568
충청남도교육청,공주교육지원청,공주중동초등학교병설유치원,공립(병설),황인관,황인관,19870307,19870307,충청남도 공주시 웅진로 146-5,041-850-9606,041-856-4978,http://www.gjjd.cnees.kr,0740시0740분~1830시1830분,1,0,0,1,0,32,14,0,0,18,0,5,0,0,11,0,36.4536865721,127.1257347927
충청남도교육청,공주교육지원청,구산초등학교병설유치원,공립(병설),구미순,구미순(직무대리),19810310,19810310,충청남도 공주시 유구읍 유구마곡사로 61-1,041-841-8589,041-8416-6938,www.kusan.cnees.kr,0840시0840분~1640시1640분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,3,0,36.5519239378,126.9578672249
충청남도교육청,공주교육지원청,국립공주대학교사범대학부설유치원,국립,양지애,양지애,19960222,19960222,충청남도 공주시 공주대학로 56,041-850-0666,041-850-0668,http://www.kongju.kg.kr/,0800시0800분~1830시1830분,1,2,2,0,1,90,14,36,38,0,2,14,35,38,0,2,36.4717613034522,127.142555811211
충청남도교육청,공주교육지원청,귀산초등학교병설유치원,공립(병설),이근주,이근주,19830301,19830301,충청남도 공주시 귀산길 81-15,041-854-7302,041-854-7306, ,0840시0840분~1640시1640분,0,0,0,1,0,14,0,0,0,14,0,0,0,0,7,0,36.499975063,127.1130542243
