교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
충청북도교육청,괴산증평교육지원청,감물초등학교병설유치원,공립(병설),류상철,류상철,19810301,19810310,충청북도 괴산군 남양동길 38,043-833-5217,043-833-9227,http://school.cbe.go.kr/kammul-e,0830시0830분~1630시1630분,0,0,0,1,1,21,0,0,0,17,4,0,0,0,5,1,36.8391405735,127.8714419516
충청북도교육청,괴산증평교육지원청,괴산명덕초등학교병설유치원,공립(병설),조완원,조완원,19790312,19790312,충청북도 괴산군 읍내로4길 53,043-832-3190,043-832-0154,http://gsmyungduk.es.kr,0830시0830분~1630시1630분,0,0,0,1,1,21,0,0,0,17,4,0,0,0,6,2,36.8088218158604,127.78778194406
충청북도교육청,괴산증평교육지원청,도안초등학교병설유치원,공립(병설),이정인,이정인,19810810,19810810,충청북도 증평군 화성로 101,043-836-5615,043-836-8920,http://www.doan.es.kr,1230시1230분~1630시1630분,0,0,0,1,0,17,0,0,0,17,0,0,0,0,3,0,36.8170852068,127.6112146854
충청북도교육청,괴산증평교육지원청,동인초등학교병설유치원,공립(병설),장유진,장유진,19810410,19810410,충청북도 괴산군 괴산읍 읍내로2길 15-8,043-834-0567,043-834-0572,http://www.dongin.es.kr,0740시0740분~1640시1640분,0,0,0,1,1,21,0,0,0,17,4,0,0,0,8,1,36.8058170483,127.7897089937
충청북도교육청,괴산증평교육지원청,동화나라유치원,사립(사인),남궁석,정미영,20110901,20110901,충청북도 증평군 초중8길 47-11,043-838-7472,043-838-7476, ,0900시0900분~1600시1600분,1,2,2,0,0,114,34,40,40,0,0,31,38,35,0,0,36.7788645994,127.5711574706
충청북도교육청,괴산증평교육지원청,목도초등학교병설유치원,공립(병설),김병준,김병준,19810310,19810310,충청북도 괴산군 목도로 42-1,043-833-6894,043-833-2236,http://mokdo.es.kr,0830시0830분~1630시1630분,0,0,0,1,0,17,0,0,0,17,0,0,0,0,3,0,36.8743383271373,127.854227308164
충청북도교육청,괴산증평교육지원청,문광초등학교병설유치원,공립(병설),김기중,김기중,19850205,19850311,충청북도 괴산군 괴산로 3446,043-832-2933,043-834-0396,http://munkwang.es.kr,0830시0830분~1630시1630분,0,0,0,1,0,17,0,0,0,17,0,0,0,0,5,0,36.7898132210046,127.783356465666
충청북도교육청,괴산증평교육지원청,백봉초등학교병설유치원,공립(병설),김종대,김종대,19840301,19840301,충청북도 괴산군 질마로 1456,043-832-9770, ,http://baekbong.es.kr,0840시0840분~1640시1640분,0,0,0,1,0,17,0,0,0,17,0,0,0,0,9,0,36.7072644748,127.7272099648
충청북도교육청,괴산증평교육지원청,보광초등학교병설유치원,공립(병설),장광수,장광수,19810301,19810310,충청북도 괴산군 사리로 246,043-836-5509,043-836-6187,http://bokwang.es.kr/index.jsp?SCODE=S0000000544&amp;amp;mnu=,1230시1230분~1630시1630분,0,0,0,1,0,17,0,0,0,17,0,0,0,0,8,0,36.8180956701,127.6498851831
충청북도교육청,괴산증평교육지원청,삼보초등학교병설유치원,공립(병설),송기숙,송기숙,19810301,19810301,충청북도 증평군 삼보로 140,043-836-7993,043-838-1730,http://school.cbe.go.kr/sambo-e,0740시0740분~1840시1840분,0,0,1,1,2,47,0,0,22,17,8,0,0,9,8,7,36.7782684423939,127.578757180091
