지역,제목,작성자,라이선스,썸네일,출처
강원 춘천,Chuncheon National Museum,Trainholic,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Chuncheon_National_Museum.jpg/960px-Chuncheon_National_Museum.jpg,https://commons.wikimedia.org/wiki/File:Chuncheon_National_Museum.jpg
경기 군포,Gunpo City Sanbon Joongang Park 20250118,LandAndTree,CC0,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/Gunpo_City_Sanbon_Joongang_Park_20250118.jpg/960px-Gunpo_City_Sanbon_Joongang_Park_20250118.jpg,https://commons.wikimedia.org/wiki/File:Gunpo_City_Sanbon_Joongang_Park_20250118.jpg
경기 남양주,Organic museum and center in Namyangju City (4444965564),Korea.net / Korean Culture and Informati,CC BY-SA 2.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Organic_museum_and_center_in_Namyangju_City_%284444965564%29.jpg/960px-Organic_museum_and_center_in_Namyangju_City_%284444965564%29.jpg,https://commons.wikimedia.org/wiki/File:Organic_museum_and_center_in_Namyangju_City_(4444965564).jpg
경기 동두천,Dongducheon Kkumnam Digital Library,hyolee2,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/Dongducheon_Kkumnam_Digital_Library.JPG/960px-Dongducheon_Kkumnam_Digital_Library.JPG,https://commons.wikimedia.org/wiki/File:Dongducheon_Kkumnam_Digital_Library.JPG
경기 시흥,시흥 오이도 선사유적공원 움집들 Siheung Oido Prehistoric Park Huts,RyuMinjoo,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/%EC%8B%9C%ED%9D%A5_%EC%98%A4%EC%9D%B4%EB%8F%84_%EC%84%A0%EC%82%AC%EC%9C%A0%EC%A0%81%EA%B3%B5%EC%9B%90_%EC%9B%80%EC%A7%91%EB%93%A4_Siheung_Oido_Prehistoric_Park_Huts.jpg/960px-%EC%8B%9C%ED%9D%A5_%EC%98%A4%EC%9D%B4%EB%8F%84_%EC%84%A0%EC%82%AC%EC%9C%A0%EC%A0%81%EA%B3%B5%EC%9B%90_%EC%9B%80%EC%A7%91%EB%93%A4_Siheung_Oido_Prehistoric_Park_Huts.jpg,https://commons.wikimedia.org/wiki/File:%EC%8B%9C%ED%9D%A5_%EC%98%A4%EC%9D%B4%EB%8F%84_%EC%84%A0%EC%82%AC%EC%9C%A0%EC%A0%81%EA%B3%B5%EC%9B%90_%EC%9B%80%EC%A7%91%EB%93%A4_Siheung_Oido_Prehistoric_Park_Huts.jpg
경기 여주,Yeoju Station Plaza,Jhcbs1019,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Yeoju_Station_Plaza.jpg/960px-Yeoju_Station_Plaza.jpg,https://commons.wikimedia.org/wiki/File:Yeoju_Station_Plaza.jpg
경기 의정부,Hoeryongcheon Stream - Uijeongbu,Yann Michel Cueroni,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/Hoeryongcheon_Stream_-_Uijeongbu.jpg/960px-Hoeryongcheon_Stream_-_Uijeongbu.jpg,https://commons.wikimedia.org/wiki/File:Hoeryongcheon_Stream_-_Uijeongbu.jpg
경기 파주,The Valley of the British Military Memorial Park in Paju,Suohros,CC0,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/The_Valley_of_the_British_Military_Memorial_Park_in_Paju.jpg/960px-The_Valley_of_the_British_Military_Memorial_Park_in_Paju.jpg,https://commons.wikimedia.org/wiki/File:The_Valley_of_the_British_Military_Memorial_Park_in_Paju.jpg
경기 평택,Pyeongtaek(Asan) Port View1,Wtbnt,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/Pyeongtaek%28Asan%29_Port_View1.JPG/960px-Pyeongtaek%28Asan%29_Port_View1.JPG,https://commons.wikimedia.org/wiki/File:Pyeongtaek(Asan)_Port_View1.JPG
경남 거제,Geoje beach,Towel401 (talk),Public domain,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3b/Geoje_beach.jpeg/960px-Geoje_beach.jpeg,https://commons.wikimedia.org/wiki/File:Geoje_beach.jpeg
경남 양산,View from Eden Valley Yangsan South Korea (3184909808),yeowatzup,CC BY 2.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/84/View_from_Eden_Valley%2C_Yangsan%2C_South_Korea_%283184909808%29.jpg/960px-View_from_Eden_Valley%2C_Yangsan%2C_South_Korea_%283184909808%29.jpg,https://commons.wikimedia.org/wiki/File:View_from_Eden_Valley%2C_Yangsan%2C_South_Korea_(3184909808).jpg
경북 경산,Gyeongsan City Library,이강철,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9d/Gyeongsan_City_Library.jpg/960px-Gyeongsan_City_Library.jpg,https://commons.wikimedia.org/wiki/File:Gyeongsan_City_Library.jpg
경북 구미,Korea-Gumi-Geumosan National Park-01,cs97009 (User:Jacob.jose),CC BY 2.0,https://upload.wikimedia.org/wikipedia/commons/2/26/Korea-Gumi-Geumosan_National_Park-01.jpg,https://commons.wikimedia.org/wiki/File:Korea-Gumi-Geumosan_National_Park-01.jpg
경북 김천,Gimcheon university fountain,Bucksup,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Gimcheon_university_fountain.jpg/960px-Gimcheon_university_fountain.jpg,https://commons.wikimedia.org/wiki/File:Gimcheon_university_fountain.jpg
대구 달서구,View of Dalseo-gu in Daegu from Daegu Duryu Park,Namoroka,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/View_of_Dalseo-gu_in_Daegu_from_Daegu_Duryu_Park.JPG/960px-View_of_Dalseo-gu_in_Daegu_from_Daegu_Duryu_Park.JPG,https://commons.wikimedia.org/wiki/File:View_of_Dalseo-gu_in_Daegu_from_Daegu_Duryu_Park.JPG
대구 동구,Dongdaegu park pyramid,Taken by User:Visviva and released into,Public domain,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Dongdaegu_park_pyramid.jpg/960px-Dongdaegu_park_pyramid.jpg,https://commons.wikimedia.org/wiki/File:Dongdaegu_park_pyramid.jpg
대구 수성구,Suseonglakeducks,Thorfinn Stainforth,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9f/Suseonglakeducks.JPG/960px-Suseonglakeducks.JPG,https://commons.wikimedia.org/wiki/File:Suseonglakeducks.JPG
대전 유성구,Yuseong at Wolpyeong park,Ryuch,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/Yuseong_at_Wolpyeong_park.JPG/960px-Yuseong_at_Wolpyeong_park.JPG,https://commons.wikimedia.org/wiki/File:Yuseong_at_Wolpyeong_park.JPG
부산 부산진구,View of Busanjin District,_Higher_,CC BY 2.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0a/View_of_Busanjin_District.jpg/960px-View_of_Busanjin_District.jpg,https://commons.wikimedia.org/wiki/File:View_of_Busanjin_District.jpg
부산 사상구,Sasang-gu eomgung view,FriedC,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/Sasang-gu_eomgung_view.jpg/960px-Sasang-gu_eomgung_view.jpg,https://commons.wikimedia.org/wiki/File:Sasang-gu_eomgung_view.jpg
부산 사하구,Panorama Saha-gu Busan,FriedC,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/Panorama_Saha-gu_Busan.JPG/960px-Panorama_Saha-gu_Busan.JPG,https://commons.wikimedia.org/wiki/File:Panorama_Saha-gu_Busan.JPG
부산 해운대구,Haeundae Beach NightView,Haeundae District Municipality,CC BY 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Haeundae_Beach_NightView.jpg/960px-Haeundae_Beach_NightView.jpg,https://commons.wikimedia.org/wiki/File:Haeundae_Beach_NightView.jpg
